date,open,high,close,low,volume,amount,turnover_rate,p_change,review_pc,amplitude,MACD,DIFF,DEM,ema_quick,ema_slow,K,D,J,MACD_d,DIFF_d,DEM_d,K_d
2017-12-21,17.013,17.081,16.726,16.476,23947.0,40053752.2,0.907083333333,-1.90604656618,-1.12997728088,3.61712304197,0.00291593332224,-0.356929224919,-0.35838719158,17.2004579732,17.5573871981,40.5422737072,44.9843800056,31.6580611103,-0.932428242215,0.0585870941215,-0.00101599987485,0.00971353129288
2017-12-22,16.703,16.764,16.537,16.499,14331.0,23699174.7,0.542840909091,-1.12997728088,-2.10437201427,1.60246719478,-0.040045206165,-0.383415445433,-0.363392842351,17.0983875157,17.4818029612,31.8080566853,40.5922722322,14.2396255915,-14.7332379515,0.0742058051433,0.0139671586715,-0.215434809724
2017-12-25,16.507,16.59,16.189,16.038,20734.0,33566272.6,0.785378787879,-2.10437201427,1.82222496757,3.40972265118,-0.102664307882,-0.427558034777,-0.376225880836,16.9584817441,17.3860397789,30.3237286115,37.1694243586,16.6323371171,1.56371030927,0.115129919438,0.0353145053773,-0.0466651606078
2017-12-26,16.174,16.537,16.484,16.144,19017.0,31347622.8,0.720340909091,1.82222496757,-0.139529240476,2.38413006552,-0.0920185343078,-0.433737464778,-0.387728197624,16.8854845527,17.3192220175,49.0538173779,41.1308886984,64.8996747371,-0.103694982161,0.014452844991,0.0305729014786,0.617671032692
2017-12-27,16.461,16.771,16.461,16.393,17362.0,28579588.2,0.657651515152,-0.139529240476,-0.455622380171,2.29633679606,-0.0763881306542,-0.435470779283,-0.397276713956,16.8201792369,17.2556500162,38.6990175818,40.3202649928,35.4565227596,-0.169861471618,0.0039962296221,0.0246268298006,-0.211090601092
2017-12-28,16.325,16.613,16.386,16.325,14302.0,23435257.2,0.541742424242,-0.455622380171,0.872696204077,1.75759794947,-0.0649157620583,-0.437849065243,-0.405391184213,16.7533824312,17.1912314965,32.8595302397,37.8333534085,22.9118839022,-0.150185225082,0.0054614134231,0.020425235037,-0.150894976332
2017-12-29,16.348,16.567,16.529,16.348,11116.0,18373636.4,0.421060606061,0.872696204077,0.871196079618,1.32494403775,-0.0286785122237,-0.423315254353,-0.408975998241,16.7188620572,17.1421773115,49.4558207686,41.7075091952,64.9524439155,-0.558219586208,-0.0331936551726,0.00884285146685,0.505067796401
2018-01-02,16.484,16.741,16.673,16.446,17188.0,28657552.4,0.651060606061,0.871196079618,4.30636358184,1.76932765549,0.0213742683383,-0.39561708053,-0.406304214699,16.7118063561,17.1074234366,58.6202646932,47.3450943612,81.1706053572,-1.74530603859,-0.0654315513992,-0.00653286147298,0.185305668416
2018-01-03,16.998,17.656,17.391,16.99,58371.0,101513006.1,2.21102272727,4.30636358184,-1.7825311943,3.82956701742,0.150676468225,-0.312131422058,-0.387469656171,16.8162976859,17.128429108,59.1502465322,51.2801450849,74.8904494269,6.04943279651,-0.211026425754,-0.0463558039684,0.00904093220619
2018-01-04,17.247,17.346,17.081,17.013,35167.0,60068752.7,1.33208333333,-1.7825311943,-0.398103155553,1.94953457058,0.19131989489,-0.267894721865,-0.36355466931,16.8570211189,17.1249158407,46.2403044949,49.6001982216,39.5205170417,0.269739708817,-0.141724597613,-0.0617209282852,-0.218256774809
