,date,MACD_d,open,close,high,low,volume,ema_slow,ema_quick,DEM,DIFF,MACD,code,diff
281,2017-11-23,-46.376274042,11520.04,11175.47,11520.04,11162.53,196371019.0,11397.4409551,11443.5542072,77.300330992,46.1132521596,-62.3741576647,sz,46.1132521596
282,2017-11-24,-28.1111165429,11135.07,11168.39,11225.2,11058.99,159697129.0,11380.4742177,11401.2212523,65.989671716,20.7470346122,-90.4852742076,sz,20.7470346122
283,2017-11-27,-41.4201096667,11126.78,10954.18,11126.78,10936.14,164559024.0,11348.8968682,11332.445675,49.5014987318,-16.4511932054,-131.905383874,sz,-16.4511932054
284,2017-11-28,-2.46828106913,10938.4,11091.14,11091.14,10936.4,146029309.0,11329.8037669,11295.321725,32.7047906138,-34.4820418579,-134.373664943,sz,-34.4820418579
285,2017-11-29,3.75069783425,11095.91,11082.13,11108.45,10936.99,173222706.0,11311.4575619,11262.5229981,16.3769197252,-48.9345638294,-130.622967109,sz,-48.9345638294
286,2017-11-30,-8.71777825612,11036.75,10944.1,11079.93,10908.7,150778315.0,11284.2458907,11213.5348445,-1.04067344548,-70.7110461281,-139.340745365,sz,-70.7110461281
287,2017-12-01,10.6725322177,10941.87,11013.15,11077.43,10926.77,148449124.0,11264.1647136,11182.7064069,-17.1242000889,-81.4583066627,-128.668213148,sz,-81.4583066627
288,2017-12-04,13.9252623658,11007.19,11014.55,11099.83,10993.51,157333821.0,11245.6747348,11156.8361905,-31.4670689366,-88.8385443275,-114.742950782,sz,-88.8385443275
289,2017-12-05,-5.07926707678,10988.07,10854.75,11044.18,10801.4,177587758.0,11216.717347,11110.3613919,-46.444846169,-106.355955098,-119.822217859,sz,-106.355955098
290,2017-12-06,11.1661568866,10838.04,10911.33,10911.33,10716.29,158824714.0,11194.0960621,11079.7411778,-60.0268537905,-114.354884276,-108.656060972,sz,-114.354884276
291,2017-12-07,-0.260929056439,10886.26,10801.25,10925.2,10795.84,135430809.0,11164.9963538,11036.8963812,-73.641477544,-128.099972558,-108.916990028,sz,-128.099972558
292,2017-12-08,23.9676970951,10789.17,10935.06,10964.79,10789.17,146228435.0,11147.9640313,11021.2292456,-84.2601391607,-126.734785627,-84.9492929333,sz,-126.734785627
293,2017-12-11,47.5857129388,10962.18,11143.26,11143.26,10962.18,158546559.0,11147.6155845,11040.0032078,-88.93058666,-107.612376657,-37.3635799945,sz,-107.612376657
294,2017-12-12,20.6360754218,11145.75,11043.21,11176.58,11043.21,150996403.0,11139.8818375,11040.4965605,-91.0215247316,-99.3852770179,-16.7275045726,sz,-99.3852770179
295,2017-12-13,28.3211522371,11030.02,11143.89,11143.89,11019.59,133789343.0,11140.1787384,11056.4032435,-89.5723187735,-83.7754949413,11.5936476645,sz,-83.7754949413
296,2017-12-14,14.4740319524,11138.46,11110.18,11165.61,11070.98,145975597.0,11137.9566097,11064.6765906,-86.3138588214,-73.280019013,26.0676796168,sz,-73.280019013
297,2017-12-15,-5.02346888595,11092.15,10998.12,11104.82,10970.73,157212224.0,11127.5983423,11054.4371152,-83.68333248,-73.1612271146,21.0442107309,sz,-73.1612271146
298,2017-12-18,-7.57607779056,10991.11,10960.12,11046.1,10916.19,133860385.0,11115.1925391,11039.9267898,-81.9998158625,-75.2657493923,13.4681329403,sz,-75.2657493923
299,2017-12-19,10.7020628533,10964.14,11074.99,11077.18,10963.79,130291597.0,11112.2145733,11045.3211298,-78.9785413883,-66.8934434915,24.1701957936,sz,-66.8934434915
300,2017-12-20,-2.26547894586,11072.41,11003.33,11079.13,10988.89,140075895.0,11104.1490493,11038.860956,-76.2404517823,-65.2880933585,21.9047168477,sz,-65.2880933585
301,2017-12-21,13.489751377,10988.77,11118.25,11149.04,10935.22,150891800.0,11105.1935642,11051.0746551,-71.8161432542,-54.1189091419,35.3944682247,sz,-54.1189091419
302,2017-12-22,4.83441140862,11112.73,11094.16,11154.75,11078.26,129119659.0,11104.3762631,11057.7031697,-66.7875333001,-46.6730934834,40.2288796333,sz,-46.6730934834
303,2017-12-25,-9.17711869583,11102.16,11005.5,11132.59,10967.37,147971068.0,11097.0520955,11049.6719128,-62.9060631829,-47.3801827141,31.0517609375,sz,-47.3801827141
304,2017-12-26,-4.14853478622,11002.34,11021.83,11025.1,10900.64,139956796.0,11091.4800884,11045.3885416,-59.543159914,-46.0915468383,26.9032261513,sz,-46.0915468383
305,2017-12-27,-17.0438655006,11007.44,10911.21,11026.73,10911.21,154718700.0,11078.1267485,11024.745689,-58.3107398326,-53.3810595073,9.85936065071,sz,-53.3810595073
306,2017-12-28,-2.12089433382,10907.83,10974.01,11029.08,10891.75,159818717.0,11070.4143968,11016.9401984,-57.343431543,-53.4741983846,7.73846631689,sz,-53.4741983846
307,2017-12-29,7.79067073562,10984.86,11040.45,11040.62,10971.64,139772319.0,11068.1948119,11020.557091,-55.4022894115,-47.6377208852,15.5291370525,sz,-47.6377208852
